text,label
"Sehr geehrter Kunde, vielen Dank für Ihre Anfrage. Diese E-Mail wurde automatisch generiert. Ein Mitarbeiter wird sich in Kürze mit Ihnen in Verbindung setzen.",autoresponder_generic
"Sehr geehrte Damen und Herren, dies ist eine automatische Bestätigung Ihrer Bestellung. Ihre Bestellnummer lautet: #45678. Bei Fragen wenden Sie sich bitte an unseren Kundendienst.",autoresponder_generic
Vielen Dank für Ihre Nachricht. Wir haben Ihre Anfrage erhalten und werden uns innerhalb der nächsten 48 Stunden bei Ihnen melden. Bitte antworten Sie nicht auf diese E-Mail.,autoresponder_generic
"Hallo, dies ist eine automatische Bestätigung. Ihre Anfrage wurde erfolgreich in unserem System registriert. Ein Teammitglied wird Ihnen bald antworten.",autoresponder_generic
Automatische Antwort: Wir haben Ihre Anfrage erhalten und bearbeiten diese schnellstmöglich. Ihre Ticketnummer lautet: #TKT-2023-05478.,autoresponder_generic
"Willkommen bei unserem Service! Diese automatische Nachricht bestätigt, dass Ihr Konto erfolgreich erstellt wurde. Bitte verifizieren Sie Ihre E-Mail-Adresse durch Klicken auf den folgenden Link.",autoresponder_generic
"Sehr geehrter Herr Schmidt, Ihre Registrierung wurde erfolgreich abgeschlossen. Ihre Zugangsdaten wurden an Ihre E-Mail-Adresse gesendet. Dies ist eine automatisch generierte Nachricht.",autoresponder_generic
Ihre Anfrage wurde erfasst. Ein Mitarbeiter wird sich in Kürze bei Ihnen melden. Bitte beachten Sie unsere Geschäftszeiten: Mo-Fr 9-17 Uhr. Dies ist eine automatische Antwort.,autoresponder_generic
Automatische Bestätigung: Ihr Ticket #45982 wurde in unserem System erfasst. Wir werden uns schnellstmöglich um Ihr Anliegen kümmern.,autoresponder_generic
"Diese E-Mail dient zur Bestätigung, dass wir Ihre Anfrage erhalten haben. Bitte beachten Sie, dass dies eine automatisch generierte Nachricht ist und keine direkte Antwort erfordert.",autoresponder_generic
"Hallo Thomas, vielen Dank für deine E-Mail. Ich habe mir die Unterlagen angesehen und werde morgen in der Besprechung darauf eingehen. Viele Grüße, Anna",menschliche_antwort
"Liebe Frau Müller, bezüglich Ihrer Anfrage vom 15.03. kann ich Ihnen mitteilen, dass die gewünschten Materialien nächste Woche geliefert werden. Mit freundlichen Grüßen, Karl Weber",menschliche_antwort
"Hallo zusammen, wie besprochen schicke ich euch die aktualisierten Zahlen für das Q2. Lasst uns am Donnerstag darüber sprechen. Beste Grüße, Michael",menschliche_antwort
"Lieber Herr Schulz, ich habe Ihre Nachricht erhalten und verstehe Ihr Anliegen. Gerne vereinbare ich einen Termin für nächste Woche. Würde Dienstag um 14 Uhr passen? Viele Grüße, Sabine Krause",menschliche_antwort
"Hallo Julia, danke für die Einladung! Ich komme gerne zum Team-Event am Freitag. Soll ich etwas mitbringen? Liebe Grüße, Stefan",menschliche_antwort
"Sehr geehrter Herr Dr. Becker, ich habe die von Ihnen angeforderten Dokumente beigefügt. Für Rückfragen stehe ich Ihnen gerne zur Verfügung. Mit freundlichen Grüßen, Martin Schmidt",menschliche_antwort
"Liebe Kollegen, aufgrund der heutigen Besprechung müssen wir den Zeitplan anpassen. Ich schlage vor, dass wir uns morgen um 10 Uhr kurz zusammensetzen. Was meint ihr? Beste Grüße, Christine",menschliche_antwort
"Hallo Maria, ich habe deinen Vorschlag durchgelesen und finde ihn sehr gut! Nur bei Punkt 3 hätte ich eine kleine Änderung: Können wir das Budget etwas erhöhen? LG, David",menschliche_antwort
"Liebe Frau Wagner, vielen Dank für das angenehme Gespräch gestern. Wie versprochen sende ich Ihnen die Informationsbroschüre im Anhang. Herzliche Grüße, Peter Neumann",menschliche_antwort
"Hallo Leon, ich habe die Präsentation fertiggestellt und die Änderungen eingearbeitet, die du vorgeschlagen hast. Was meinst du dazu? Viele Grüße, Sandra",menschliche_antwort
"Sehr geehrte Frau Schmidt, mit großem Interesse habe ich Ihre Stellenanzeige als Projektmanager in der Frankfurter Allgemeinen Zeitung gelesen. Hiermit bewerbe ich mich um diese Position und füge meinen Lebenslauf im Anhang bei.",new_job
"Lieber Herr Müller, aufgrund Ihres Profils auf LinkedIn möchten wir Sie gerne zu einem persönlichen Kennenlernen einladen. Wir suchen derzeit einen erfahrenen Softwareentwickler für unser wachsendes Team in München.",new_job
"Sehr geehrte Damen und Herren, ich bin auf der Suche nach einer neuen Herausforderung im Bereich Marketing und habe Ihr Unternehmen als attraktiven Arbeitgeber kennengelernt. Gerne möchte ich mich bei Ihnen als Marketing Manager bewerben.",new_job
"Betreff: Bewerbung als Vertriebsmitarbeiter - Sehr geehrter Herr Dr. Weber, nach mehrjähriger Tätigkeit im Vertrieb suche ich nun eine neue Position mit mehr Verantwortung. Ihr Unternehmen hat mich besonders angesprochen, weshalb ich mich hiermit bewerbe.",new_job
"Sehr geehrte Frau Bauer, wir freuen uns, Ihnen mitteilen zu können, dass Sie in die engere Auswahl für die Position des Finanzanalysten gekommen sind. Wir würden Sie gerne zu einem zweiten Gespräch am kommenden Dienstag einladen.",new_job
"Lieber Herr Schneider, wir haben Ihre Bewerbungsunterlagen erhalten und möchten Ihnen mitteilen, dass wir sehr beeindruckt sind. Gerne würden wir Sie zu einem Vorstellungsgespräch in unserem Büro in Berlin einladen.",new_job
"Sehr geehrte Frau Klein, aufgrund Ihrer hervorragenden Qualifikationen möchten wir Ihnen gerne ein Jobangebot unterbreiten. Als Senior Consultant würden Sie ein Jahresgehalt von 75.000 € sowie zahlreiche Zusatzleistungen erhalten.",new_job
"Betreff: Ihre Bewerbung als Grafikdesigner - Sehr geehrter Herr Schmidt, vielen Dank für Ihre Bewerbung und das angenehme Gespräch letzte Woche. Leider müssen wir Ihnen mitteilen, dass wir uns für einen anderen Kandidaten entschieden haben.",new_job
"Liebe Frau Hoffmann, nach unserem Telefonat letzte Woche sende ich Ihnen wie versprochen die Details zur ausgeschriebenen Position als Content Manager. Die Stelle ist ab dem 1. August zu besetzen.",new_job
"Sehr geehrter Herr Wagner, hiermit kündige ich meinen Arbeitsvertrag fristgerecht zum 31.12.2023. Ich bedanke mich für die gute Zusammenarbeit in den vergangenen Jahren und die wertvollen Erfahrungen, die ich in Ihrem Unternehmen sammeln durfte.",new_job
"TechNews Weekly: Die neuesten Innovationen im Überblick. In dieser Woche: KI-Revolution in der Medizin, neue Smartphone-Modelle und die Zukunft des autonomen Fahrens. Klicken Sie hier, um den vollständigen Newsletter zu lesen.",newsletter
"Monatsrückblick April: Liebe Kundinnen und Kunden, der Frühling ist da und wir präsentieren Ihnen unsere neuen Frühjahrsangebote. Profitieren Sie jetzt von 20% Rabatt auf ausgewählte Artikel in unserem Online-Shop.",newsletter
Fitness-Update: 10 Übungen für einen gesunden Rücken. Plus: Ernährungstipps für mehr Energie im Alltag und exklusive Angebote für unsere Premium-Mitglieder. Öffnen Sie den Newsletter für alle Details.,newsletter
"Kulturbrief Berlin: Die Top-Events im Mai. Theater, Konzerte, Ausstellungen - wir haben die Highlights für Sie zusammengestellt. Außerdem: Interview mit dem aufstrebenden Künstler Julian Meyer und Verlosung von Freikarten.",newsletter
Investor Relations Update: Q1 Finanzergebnisse der XYZ AG. Umsatzsteigerung von 15% im Vergleich zum Vorjahreszeitraum und Ausblick auf das kommende Quartal. Detaillierte Informationen finden Sie im angehängten PDF.,newsletter
"Reise-Newsletter: Entdecken Sie unsere Top 5 Sommerdestinationen 2023. Exklusive Frühbucherrabatte für Mallorca, Griechenland und die Türkei. Buchen Sie jetzt und sparen Sie bis zu 300€ pro Person!",newsletter
"Mode-Trends Frühjahr/Sommer: Liebe Modefreunde, entdecken Sie die neuesten Kollektionen in unserem Online-Shop. Pastellfarben, Oversized-Blazer und Statement-Accessoires dominieren die Saison. 15% Rabatt mit Code SPRING23.",newsletter
Weinwelt Newsletter: Neuheiten aus unserer Vinothek. Probieren Sie die prämierten Rotweine aus Südafrika und erfahren Sie mehr über unsere Weintasting-Events im Juni. Für Newsletter-Abonnenten: 10% Rabatt auf die vorgestellten Weine.,newsletter
"E-Learning Update: Neue Kurse in unserem Online-Campus. Erweitern Sie Ihre Fähigkeiten mit unseren Zertifikatskursen in Digital Marketing, Projektmanagement und Data Analysis. Frühanmeldung bis zum 30.04. mit 25% Ermäßigung.",newsletter
"Umwelt im Fokus: Der monatliche Newsletter der Grünen Initiative. Aktuelle Projekte, Petitionen und Erfolge im Umweltschutz. Machen Sie mit bei unserer Baumpflanzaktion am 22.04. zum Tag der Erde!",newsletter
"Deutsche Bank AG - Wichtige Information zu Ihrem Konto. Sehr geehrter Kunde, wir haben unsere AGBs aktualisiert. Bitte lesen Sie die Änderungen unter folgendem Link und bestätigen Sie diese bis zum 30.06.2023.",not_an_individual
"Vodafone Deutschland - Ihre Rechnung für Mai 2023 ist verfügbar. Loggen Sie sich in Ihrem Kundenkonto ein, um alle Details einzusehen. Bei Fragen kontaktieren Sie bitte unseren Kundenservice unter 0800-12345678.",not_an_individual
"Amazon.de - Bestätigung Ihrer Bestellung #302-7654321-890. Sehr geehrter Kunde, vielen Dank für Ihre Bestellung. Die voraussichtliche Lieferung erfolgt am 25.04.2023. Alle Details finden Sie in Ihrem Kundenkonto.",not_an_individual
IKEA Deutschland - 15% Rabatt auf alle Sofas und Sessel! Nur noch bis zum 30.04. gültig. Besuchen Sie uns in Ihrem IKEA Einrichtungshaus oder shoppen Sie bequem online. Ihre IKEA-Family Nummer: 12345678,not_an_individual
"Techniker Krankenkasse - Information zur Jahresabrechnung 2022. Sehr geehrtes Mitglied, Ihre Jahresabrechnung ist jetzt in Ihrem Online-Postfach verfügbar. Bitte prüfen Sie die Daten auf Richtigkeit.",not_an_individual
"Steuerberater Schmidt & Partner GmbH - Erinnerung: Abgabe der Steuererklärung 2022. Sehr geehrter Herr Müller, wir erinnern Sie daran, dass die Frist zur Einreichung Ihrer Steuerunterlagen am 31.07.2023 endet.",not_an_individual
"Stadtwerke München - Änderung der Energiepreise zum 01.06.2023. Sehr geehrter Kunde, aufgrund der aktuellen Marktlage müssen wir unsere Preise anpassen. Details entnehmen Sie bitte dem angehängten Schreiben.",not_an_individual
"LinkedIn - 5 neue Kontaktvorschläge für Sie. Erweitern Sie Ihr berufliches Netzwerk mit diesen Personen aus Ihrer Branche. Klicken Sie hier, um Ihr Profil zu aktualisieren und mehr Sichtbarkeit zu erlangen.",not_an_individual
Deutsche Bahn - Wichtige Information zu Ihrer Reise am 28.04.2023. Aufgrund von Bauarbeiten kommt es auf der Strecke München-Berlin zu Verzögerungen. Bitte planen Sie zusätzliche Reisezeit ein.,not_an_individual
"Sparkasse - Sicherheitshinweis: Neue TAN-Verfahren ab 01.05.2023. Sehr geehrter Kunde, aus Sicherheitsgründen stellen wir auf ein neues Authentifizierungsverfahren um. Bitte aktualisieren Sie Ihre pushTAN-App.",not_an_individual
Abwesenheitsnotiz: Vielen Dank für Ihre E-Mail. Ich bin vom 15.04. bis einschließlich 30.04.2023 im Urlaub und nicht erreichbar. In dringenden Fällen wenden Sie sich bitte an meinen Kollegen Max Mustermann (max.mustermann@firma.de).,out_of_office
Automatische Antwort: Ich bin derzeit nicht im Büro und kehre am 22.05.2023 zurück. Ihre Nachricht wird nicht weitergeleitet. Bei dringenden Angelegenheiten kontaktieren Sie bitte unsere Hotline unter 089-12345678.,out_of_office
Out of Office: Ich befinde mich aktuell auf einer Geschäftsreise und habe nur eingeschränkten Zugang zu meinen E-Mails. Ab dem 24.04. bin ich wieder regulär erreichbar. Dringende Anfragen richten Sie bitte an office@unternehmen.de.,out_of_office
"Abwesenheit: Sehr geehrte Damen und Herren, ich bin momentan im Mutterschutz und werde voraussichtlich im September 2023 zurückkehren. Während meiner Abwesenheit wird mein Kollege Herr Schmidt meine Aufgaben übernehmen.",out_of_office
Automatische Antwort: Elternzeit. Ich befinde mich vom 01.03.2023 bis 28.02.2024 in Elternzeit und werde Ihre E-Mail nicht lesen. Bitte wenden Sie sich an meine Vertretung Frau Anna Müller (a.mueller@firma.de).,out_of_office
"Out of Office: Bitte beachten Sie, dass ich heute krankheitsbedingt nicht im Büro bin. Ich werde Ihre E-Mail bei meiner Rückkehr bearbeiten. In dringenden Fällen kontaktieren Sie bitte meinen Kollegen Herrn Weber unter j.weber@unternehmen.de.",out_of_office
Abwesenheitsnotiz: Aufgrund eines Seminars bin ich vom 10.05. bis 12.05.2023 nicht erreichbar. Ich beantworte Ihre E-Mail nach meiner Rückkehr. Bei Dringlichkeit wenden Sie sich bitte an das Sekretariat unter sekretariat@firma.de.,out_of_office
Automatische Antwort: Vielen Dank für Ihre Nachricht. Ich bin bis zum 15.06.2023 im Ausland und habe nur gelegentlich Zugang zu meinen E-Mails. In wichtigen Angelegenheiten erreichen Sie meinen Stellvertreter unter peter.schmidt@unternehmen.de.,out_of_office
Out of Office: Ich bin aktuell auf einer Konferenz und erst ab dem 05.05.2023 wieder im Büro. Ihre Nachricht wird gespeichert und bei meiner Rückkehr bearbeitet. Dringende Anfragen bitte an den Helpdesk: helpdesk@firma.de,out_of_office
Abwesenheitsnotiz: Ich befinde mich vom 20.04. bis 25.04.2023 auf einer Fortbildung. In dieser Zeit ist mein E-Mail-Zugang eingeschränkt. Bitte wenden Sie sich in dringenden Fällen an meinen Kollegen Thomas Becker (t.becker@unternehmen.de).,out_of_office
