text,label
"Sehr geehrter Kunde, vielen Dank für Ihre Anfrage. Diese E-Mail wurde automatisch generiert. Ein Mitarbeiter wird sich in Kürze mit Ihnen in Verbindung setzen.",other
"Sehr geehrte Damen und Herren, dies ist eine automatische Bestätigung Ihrer Bestellung. Ihre Bestellnummer lautet: #45678. Bei Fragen wenden Sie sich bitte an unseren Kundendienst.",other
Vielen Dank für Ihre Nachricht. Wir haben Ihre Anfrage erhalten und werden uns innerhalb der nächsten 48 Stunden bei Ihnen melden. Bitte antworten Sie nicht auf diese E-Mail.,other
"Hallo, dies ist eine automatische Bestätigung. Ihre Anfrage wurde erfolgreich in unserem System registriert. Ein Teammitglied wird Ihnen bald antworten.",other
Automatische Antwort: Wir haben Ihre Anfrage erhalten und bearbeiten diese schnellstmöglich. Ihre Ticketnummer lautet: #TKT-2023-05478.,other
"Willkommen bei unserem Service! Diese automatische Nachricht bestätigt, dass Ihr Konto erfolgreich erstellt wurde. Bitte verifizieren Sie Ihre E-Mail-Adresse durch Klicken auf den folgenden Link.",other
"Sehr geehrter Herr Schmidt, Ihre Registrierung wurde erfolgreich abgeschlossen. Ihre Zugangsdaten wurden an Ihre E-Mail-Adresse gesendet. Dies ist eine automatisch generierte Nachricht.",other
Ihre Anfrage wurde erfasst. Ein Mitarbeiter wird sich in Kürze bei Ihnen melden. Bitte beachten Sie unsere Geschäftszeiten: Mo-Fr 9-17 Uhr. Dies ist eine automatische Antwort.,other
Automatische Bestätigung: Ihr Ticket #45982 wurde in unserem System erfasst. Wir werden uns schnellstmöglich um Ihr Anliegen kümmern.,other
"Diese E-Mail dient zur Bestätigung, dass wir Ihre Anfrage erhalten haben. Bitte beachten Sie, dass dies eine automatisch generierte Nachricht ist und keine direkte Antwort erfordert.",other
"Hallo Thomas, vielen Dank für deine E-Mail. Ich habe mir die Unterlagen angesehen und werde morgen in der Besprechung darauf eingehen. Viele Grüße, Anna",other
"Liebe Frau Müller, bezüglich Ihrer Anfrage vom 15.03. kann ich Ihnen mitteilen, dass die gewünschten Materialien nächste Woche geliefert werden. Mit freundlichen Grüßen, Karl Weber",other
"Hallo zusammen, wie besprochen schicke ich euch die aktualisierten Zahlen für das Q2. Lasst uns am Donnerstag darüber sprechen. Beste Grüße, Michael",other
"Lieber Herr Schulz, ich habe Ihre Nachricht erhalten und verstehe Ihr Anliegen. Gerne vereinbare ich einen Termin für nächste Woche. Würde Dienstag um 14 Uhr passen? Viele Grüße, Sabine Krause",other
"Hallo Julia, danke für die Einladung! Ich komme gerne zum Team-Event am Freitag. Soll ich etwas mitbringen? Liebe Grüße, Stefan",other
"Sehr geehrter Herr Dr. Becker, ich habe die von Ihnen angeforderten Dokumente beigefügt. Für Rückfragen stehe ich Ihnen gerne zur Verfügung. Mit freundlichen Grüßen, Martin Schmidt",other
"Liebe Kollegen, aufgrund der heutigen Besprechung müssen wir den Zeitplan anpassen. Ich schlage vor, dass wir uns morgen um 10 Uhr kurz zusammensetzen. Was meint ihr? Beste Grüße, Christine",other
"Hallo Maria, ich habe deinen Vorschlag durchgelesen und finde ihn sehr gut! Nur bei Punkt 3 hätte ich eine kleine Änderung: Können wir das Budget etwas erhöhen? LG, David",other
"Liebe Frau Wagner, vielen Dank für das angenehme Gespräch gestern. Wie versprochen sende ich Ihnen die Informationsbroschüre im Anhang. Herzliche Grüße, Peter Neumann",other
"Hallo Leon, ich habe die Präsentation fertiggestellt und die Änderungen eingearbeitet, die du vorgeschlagen hast. Was meinst du dazu? Viele Grüße, Sandra",other
"Sehr geehrte Frau Schmidt, mit großem Interesse habe ich Ihre Stellenanzeige als Projektmanager in der Frankfurter Allgemeinen Zeitung gelesen. Hiermit bewerbe ich mich um diese Position und füge meinen Lebenslauf im Anhang bei.",other
"Lieber Herr Müller, aufgrund Ihres Profils auf LinkedIn möchten wir Sie gerne zu einem persönlichen Kennenlernen einladen. Wir suchen derzeit einen erfahrenen Softwareentwickler für unser wachsendes Team in München.",other
"Sehr geehrte Damen und Herren, ich bin auf der Suche nach einer neuen Herausforderung im Bereich Marketing und habe Ihr Unternehmen als attraktiven Arbeitgeber kennengelernt. Gerne möchte ich mich bei Ihnen als Marketing Manager bewerben.",other
"Betreff: Bewerbung als Vertriebsmitarbeiter - Sehr geehrter Herr Dr. Weber, nach mehrjähriger Tätigkeit im Vertrieb suche ich nun eine neue Position mit mehr Verantwortung. Ihr Unternehmen hat mich besonders angesprochen, weshalb ich mich hiermit bewerbe.",other
"Sehr geehrte Frau Bauer, wir freuen uns, Ihnen mitteilen zu können, dass Sie in die engere Auswahl für die Position des Finanzanalysten gekommen sind. Wir würden Sie gerne zu einem zweiten Gespräch am kommenden Dienstag einladen.",other
"Lieber Herr Schneider, wir haben Ihre Bewerbungsunterlagen erhalten und möchten Ihnen mitteilen, dass wir sehr beeindruckt sind. Gerne würden wir Sie zu einem Vorstellungsgespräch in unserem Büro in Berlin einladen.",other
"Sehr geehrte Frau Klein, aufgrund Ihrer hervorragenden Qualifikationen möchten wir Ihnen gerne ein Jobangebot unterbreiten. Als Senior Consultant würden Sie ein Jahresgehalt von 75.000 € sowie zahlreiche Zusatzleistungen erhalten.",other
"Betreff: Ihre Bewerbung als Grafikdesigner - Sehr geehrter Herr Schmidt, vielen Dank für Ihre Bewerbung und das angenehme Gespräch letzte Woche. Leider müssen wir Ihnen mitteilen, dass wir uns für einen anderen Kandidaten entschieden haben.",other
"Liebe Frau Hoffmann, nach unserem Telefonat letzte Woche sende ich Ihnen wie versprochen die Details zur ausgeschriebenen Position als Content Manager. Die Stelle ist ab dem 1. August zu besetzen.",other
"Sehr geehrter Herr Wagner, hiermit kündige ich meinen Arbeitsvertrag fristgerecht zum 31.12.2023. Ich bedanke mich für die gute Zusammenarbeit in den vergangenen Jahren und die wertvollen Erfahrungen, die ich in Ihrem Unternehmen sammeln durfte.",other
"TechNews Weekly: Die neuesten Innovationen im Überblick. In dieser Woche: KI-Revolution in der Medizin, neue Smartphone-Modelle und die Zukunft des autonomen Fahrens. Klicken Sie hier, um den vollständigen Newsletter zu lesen.",other
"Monatsrückblick April: Liebe Kundinnen und Kunden, der Frühling ist da und wir präsentieren Ihnen unsere neuen Frühjahrsangebote. Profitieren Sie jetzt von 20% Rabatt auf ausgewählte Artikel in unserem Online-Shop.",other
Fitness-Update: 10 Übungen für einen gesunden Rücken. Plus: Ernährungstipps für mehr Energie im Alltag und exklusive Angebote für unsere Premium-Mitglieder. Öffnen Sie den Newsletter für alle Details.,other
"Kulturbrief Berlin: Die Top-Events im Mai. Theater, Konzerte, Ausstellungen - wir haben die Highlights für Sie zusammengestellt. Außerdem: Interview mit dem aufstrebenden Künstler Julian Meyer und Verlosung von Freikarten.",other
Investor Relations Update: Q1 Finanzergebnisse der XYZ AG. Umsatzsteigerung von 15% im Vergleich zum Vorjahreszeitraum und Ausblick auf das kommende Quartal. Detaillierte Informationen finden Sie im angehängten PDF.,other
"Reise-Newsletter: Entdecken Sie unsere Top 5 Sommerdestinationen 2023. Exklusive Frühbucherrabatte für Mallorca, Griechenland und die Türkei. Buchen Sie jetzt und sparen Sie bis zu 300€ pro Person!",other
"Mode-Trends Frühjahr/Sommer: Liebe Modefreunde, entdecken Sie die neuesten Kollektionen in unserem Online-Shop. Pastellfarben, Oversized-Blazer und Statement-Accessoires dominieren die Saison. 15% Rabatt mit Code SPRING23.",other
Weinwelt Newsletter: Neuheiten aus unserer Vinothek. Probieren Sie die prämierten Rotweine aus Südafrika und erfahren Sie mehr über unsere Weintasting-Events im Juni. Für Newsletter-Abonnenten: 10% Rabatt auf die vorgestellten Weine.,other
"E-Learning Update: Neue Kurse in unserem Online-Campus. Erweitern Sie Ihre Fähigkeiten mit unseren Zertifikatskursen in Digital Marketing, Projektmanagement und Data Analysis. Frühanmeldung bis zum 30.04. mit 25% Ermäßigung.",other
"Umwelt im Fokus: Der monatliche Newsletter der Grünen Initiative. Aktuelle Projekte, Petitionen und Erfolge im Umweltschutz. Machen Sie mit bei unserer Baumpflanzaktion am 22.04. zum Tag der Erde!",other
"Deutsche Bank AG - Wichtige Information zu Ihrem Konto. Sehr geehrter Kunde, wir haben unsere AGBs aktualisiert. Bitte lesen Sie die Änderungen unter folgendem Link und bestätigen Sie diese bis zum 30.06.2023.",other
"Vodafone Deutschland - Ihre Rechnung für Mai 2023 ist verfügbar. Loggen Sie sich in Ihrem Kundenkonto ein, um alle Details einzusehen. Bei Fragen kontaktieren Sie bitte unseren Kundenservice unter 0800-12345678.",other
"Amazon.de - Bestätigung Ihrer Bestellung #302-7654321-890. Sehr geehrter Kunde, vielen Dank für Ihre Bestellung. Die voraussichtliche Lieferung erfolgt am 25.04.2023. Alle Details finden Sie in Ihrem Kundenkonto.",other
IKEA Deutschland - 15% Rabatt auf alle Sofas und Sessel! Nur noch bis zum 30.04. gültig. Besuchen Sie uns in Ihrem IKEA Einrichtungshaus oder shoppen Sie bequem online. Ihre IKEA-Family Nummer: 12345678,other
"Techniker Krankenkasse - Information zur Jahresabrechnung 2022. Sehr geehrtes Mitglied, Ihre Jahresabrechnung ist jetzt in Ihrem Online-Postfach verfügbar. Bitte prüfen Sie die Daten auf Richtigkeit.",other
"Steuerberater Schmidt & Partner GmbH - Erinnerung: Abgabe der Steuererklärung 2022. Sehr geehrter Herr Müller, wir erinnern Sie daran, dass die Frist zur Einreichung Ihrer Steuerunterlagen am 31.07.2023 endet.",other
"Stadtwerke München - Änderung der Energiepreise zum 01.06.2023. Sehr geehrter Kunde, aufgrund der aktuellen Marktlage müssen wir unsere Preise anpassen. Details entnehmen Sie bitte dem angehängten Schreiben.",other
"LinkedIn - 5 neue Kontaktvorschläge für Sie. Erweitern Sie Ihr berufliches Netzwerk mit diesen Personen aus Ihrer Branche. Klicken Sie hier, um Ihr Profil zu aktualisieren und mehr Sichtbarkeit zu erlangen.",other
Deutsche Bahn - Wichtige Information zu Ihrer Reise am 28.04.2023. Aufgrund von Bauarbeiten kommt es auf der Strecke München-Berlin zu Verzögerungen. Bitte planen Sie zusätzliche Reisezeit ein.,other
"Sparkasse - Sicherheitshinweis: Neue TAN-Verfahren ab 01.05.2023. Sehr geehrter Kunde, aus Sicherheitsgründen stellen wir auf ein neues Authentifizierungsverfahren um. Bitte aktualisieren Sie Ihre pushTAN-App.",other
Abwesenheitsnotiz: Vielen Dank für Ihre E-Mail. Ich bin vom 15.04. bis einschließlich 30.04.2023 im Urlaub und nicht erreichbar. In dringenden Fällen wenden Sie sich bitte an meinen Kollegen Max Mustermann (max.mustermann@firma.de).,out_of_office
"Out of Office: Ich bin vom 01.05. bis 15.05.2023 auf einer Dienstreise in Asien mit eingeschränkter Erreichbarkeit. Bitte kontaktieren Sie in dringenden Fällen meine Vertretung Julia Meyer (j.meyer@firma.de).",out_of_office
"Automatische Antwort: Ich befinde mich in einer wichtigen Klausurphase und bearbeite E-Mails nur sporadisch bis zum 20.05.2023. Bei dringenden Anliegen wenden Sie sich bitte an das Dekanat.",out_of_office
"Abwesenheitsnotiz: Vielen Dank für Ihre Nachricht. Ich bin vom 10.06. bis 30.06.2023 in der Sommerpause. Ihre E-Mail wird nach meiner Rückkehr bearbeitet. Notfälle: support@firma.de",out_of_office
"Out of Office: Ich nehme vom 05.07. bis 19.07.2023 an einer Fortbildung teil und habe nur eingeschränkten E-Mail-Zugriff. Bitte haben Sie Geduld oder kontaktieren Sie meine Kollegin Anna Schmidt.",out_of_office
"Automatische Antwort: Ich bin aktuell im Homeoffice mit reduzierter Arbeitszeit (Mo-Do 9-12 Uhr) bis 31.08.2023. Nicht dringende E-Mails werden verzögert beantwortet.",out_of_office
